canal,donor_ref,funcion,valor,mpn,disposicion,revision_requerida
PH,J2,Conector de campo,BNC aislado,31-221-RFX,REVIEW,PREFERIR PANEL DEL ENCLOSURE
PH,D3,Proteccion ESD,PESD5V0S1BSF,PESD5V0S1BSF,INHERIT,VALIDAR FOOTPRINT
PH,R7,Serie entrada,1k 1%,CRCW04021K00FKED,INHERIT,VALIDAR RUIDO Y FILTRO
PH,C12,Filtro RC,100nF,,INHERIT,VALIDAR CORTE
PH,R8,Bias/pulldown,10M,,REVIEW,VALIDAR IMPEDANCIA SONDA PH
PH,U4,Buffer analogico,MCP6002,MCP6002-I/SN,REVIEW,VALIDAR IMPEDANCIA DE ENTRADA
PH,U5,Driver potencia aislada,SN6501,SN6501DBVR,REVIEW,VALIDAR FUENTE AISLADA
PH,U6,Amplificador aislado,AMC1301,AMC1301DWVR,REVIEW,VALIDAR RANGO Y GANANCIA
PH,T1,Transformador aislado,750315371,750315371,REVIEW,VALIDAR CON SN6501
PH,D19,Rectificador aislado,BAT54,"BAT54,115",REVIEW,VALIDAR POLARIDAD
PH,D20,Rectificador aislado,BAT54,"BAT54,115",REVIEW,VALIDAR POLARIDAD
PH,C28,Bulk aislado,10uF,GRM21BR61C106KE15L,INHERIT,VALIDAR TENSION
PH,R30,Divisor precision,511 0.1%,,REVIEW,VALIDAR RANGO AMC1301
PH,R31,Divisor precision,511 0.1%,,REVIEW,VALIDAR RANGO AMC1301
PH,TP1,Test point,PH_BUF,,INHERIT,UBICAR EN Z1
ORP,J3,Conector de campo,BNC aislado,31-221-RFX,REVIEW,PREFERIR PANEL DEL ENCLOSURE
ORP,D4,Proteccion ESD,PESD5V0S1BSF,PESD5V0S1BSF,INHERIT,VALIDAR FOOTPRINT
ORP,R9,Serie entrada,1k 1%,CRCW04021K00FKED,INHERIT,VALIDAR RUIDO Y FILTRO
ORP,C15,Filtro RC,100nF,,INHERIT,VALIDAR CORTE
ORP,R10,Bias/pulldown,10M,,REVIEW,VALIDAR IMPEDANCIA SONDA ORP
ORP,U7,Buffer analogico,MCP6002,MCP6002-I/SN,REVIEW,VALIDAR RANGO BIPOLAR
ORP,U8,Driver potencia aislada,SN6501,SN6501DBVR,REVIEW,VALIDAR FUENTE AISLADA
ORP,U9,Amplificador aislado,AMC1301,AMC1301DWVR,REVIEW,VALIDAR RANGO Y GANANCIA
ORP,T2,Transformador aislado,750315371,750315371,REVIEW,VALIDAR CON SN6501
ORP,D21,Rectificador aislado,BAT54,"BAT54,115",REVIEW,VALIDAR POLARIDAD
ORP,D22,Rectificador aislado,BAT54,"BAT54,115",REVIEW,VALIDAR POLARIDAD
ORP,C29,Bulk aislado,10uF,GRM21BR61C106KE15L,INHERIT,VALIDAR TENSION
ORP,R32,Divisor precision,4.02k 0.1%,,REVIEW,VALIDAR RANGO AMC1301
ORP,R33,Divisor precision,1.00k 0.1%,,REVIEW,VALIDAR RANGO AMC1301
ORP,TP2,Test point,ORP_BUF,,INHERIT,UBICAR EN Z1
TEMP,J6,Conector de campo,JST-XH 2-pin,,REVIEW,ORIENTAR A -Y
TEMP,D7,Proteccion ESD,PESD3V3S1BSF,PESD3V3S1BSF,INHERIT,VALIDAR FOOTPRINT
TEMP,R15,Serie entrada,1k 1%,CRCW04021K00FKED,INHERIT,VALIDAR TOPOLOGIA NTC
TEMP,C22,Filtro RC,100nF,,INHERIT,VALIDAR CORTE
TEMP,R16,Bias/pulldown,10M,,REVIEW,VALIDAR DIVISOR NTC FINAL
CO2,J4,Conector de campo,JST-XH 3-pin,,REVIEW,ORIENTAR A -Y
CO2,D5,Proteccion ESD,PESD5V0S1BSF,PESD5V0S1BSF,INHERIT,VALIDAR FOOTPRINT
CO2,R11,Serie entrada,1k 1%,CRCW04021K00FKED,INHERIT,VALIDAR RANGO TRANSDUCTOR
CO2,C18,Filtro RC,100nF,,INHERIT,VALIDAR CORTE
CO2,R12,Bias/pulldown,10M,,REVIEW,VALIDAR RANGO TRANSDUCTOR
CO2,U10,Buffer analogico,MCP6002,MCP6002-I/SN,REVIEW,VALIDAR ESCALAMIENTO ADC
DO,J5,Conector de campo,BNC aislado,31-221-RFX,REVIEW,PREFERIR PANEL DEL ENCLOSURE
DO,D6,Proteccion ESD,PESD5V0S1BSF,PESD5V0S1BSF,INHERIT,VALIDAR FOOTPRINT
DO,R13,Serie entrada,1k 1%,CRCW04021K00FKED,INHERIT,VALIDAR SENAL SONDA DO
DO,C19,Filtro RC,100nF,,INHERIT,VALIDAR CORTE
DO,R14,Bias/pulldown,10M,,REVIEW,VALIDAR TIPO DE SONDA DO
DO,U11,Buffer analogico,MCP6002,MCP6002-I/SN,REVIEW,VALIDAR TIPO DE SONDA DO
DO,U12,Driver potencia aislada,SN6501,SN6501DBVR,REVIEW,VALIDAR FUENTE AISLADA
DO,U13,Amplificador aislado,AMC1301,AMC1301DWVR,REVIEW,VALIDAR RANGO Y GANANCIA
DO,T3,Transformador aislado,750315371,750315371,REVIEW,VALIDAR CON SN6501
DO,D23,Rectificador aislado,BAT54,"BAT54,115",REVIEW,VALIDAR POLARIDAD
DO,D24,Rectificador aislado,BAT54,"BAT54,115",REVIEW,VALIDAR POLARIDAD
DO,C30,Bulk aislado,10uF,GRM21BR61C106KE15L,INHERIT,VALIDAR TENSION
