bloque,ref,qty,funcion,valor,mpn_o_familia,footprint,poblacion,nota
PUMP,U_PUMP_DRV,1,hbridge,DRV8242H-Q1,DRV8242HQRHLRQ1,NFB:TI_RHL0020B_DRV8242,POPULATE,Automotive H-bridge HW; PH/EN; footprint RHL0020B cerrado PR13 contra drawing TI 4226154/B.
PUMP,R_PUMP_SR,1,resistor,22k 1%,CRCW040222K0FKED,Resistor_SMD:R_0402_1005Metric,POPULATE,SR LVL3 ~15-17 V/us para compromiso EMC.
PUMP,C_PUMP_VM,1,capacitor,100nF 50V X7R,C1608X7R1H104K080AA,Capacitor_SMD:C_0603_1608Metric,POPULATE,Bypass VM local obligatorio TI.
PUMP,C_PUMP_BULK,1,capacitor,22uF 25V X7R,GRM32ER71E226KE15L,Capacitor_SMD:C_1210_3225Metric,POPULATE,Bulk local >=10uF efectivo cerca VM; validar DC bias.
PUMP,R_PUMP_PWM_SER,1,resistor,100R 1%,CRCW0402100RFKED,Resistor_SMD:R_0402_1005Metric,POPULATE,Serie D5->EN para limitar edge/ringing.
PUMP,R_PUMP_PWM_PD,1,resistor,100k 1%,CRCW0402100KFKED,Resistor_SMD:R_0402_1005Metric,POPULATE,Fail-safe PWM bajo durante arranque.
PUMP,R_PUMP_DIR_SER,1,resistor,100R 1%,CRCW0402100RFKED,Resistor_SMD:R_0402_1005Metric,POPULATE,Serie D6->PH.
PUMP,R_PUMP_DIR_PD,1,resistor,100k 1%,CRCW0402100KFKED,Resistor_SMD:R_0402_1005Metric,POPULATE,Dirección definida durante arranque.
PUMP,R_PUMP_IPROPI,1,resistor,1.5k 1%,CRCW04021K50FKED,Resistor_SMD:R_0402_1005Metric,POPULATE,Convierte IPROPI a PUMP_CURRENT_ADC A4; margen ADC >2.7A worst-scale.
PUMP,C_PUMP_IPROPI,1,capacitor,100nF,GRM155R71E104KE14D,Capacitor_SMD:C_0402_1005Metric,POPULATE,Filtrado de telemetría corriente.
PUMP,J_PUMP,1,connector,MSTBA 2.5/2-G-5.08,1757242,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",POPULATE,Salida bomba OUT1/OUT2; orientar -Y.
PUMP,TP_PUMP_CURRENT,1,testpoint,PUMP_CURRENT_ADC,PCB_FEATURE,TestPoint:TestPoint_Pad_D1.0mm,PCB_FEATURE,Bring-up corriente bomba.
PUMP,TP_PUMP_OUT1,1,testpoint,PUMP_OUT1,PCB_FEATURE,TestPoint:TestPoint_Pad_D1.5mm,PCB_FEATURE,Bring-up potencia.
PUMP,TP_PUMP_OUT2,1,testpoint,PUMP_OUT2,PCB_FEATURE,TestPoint:TestPoint_Pad_D1.5mm,PCB_FEATURE,Bring-up potencia.
CO2_SOL,U_CO2_DRV,1,smart_high_side,TPS1HC120C-Q1,TPS1HC120CQDYCRQ1,NFB:TI_DYC0008A_TPS1HC120,POPULATE,DYC0008A cerrado PR13 contra TI 4226548/B; exactamente 8 pads y sin PowerPAD.
CO2_SOL,R_CO2_ILIM,1,resistor,27k 1%,CRCW040227K0FKED,Resistor_SMD:R_0402_1005Metric,POPULATE,TI formula 13.5/Rk -> ~0.5A limit.
CO2_SOL,C_CO2_DRV,1,capacitor,100nF 50V X7R,C1608X7R1H104K080AA,Capacitor_SMD:C_0603_1608Metric,POPULATE,Bypass VBB local.
CO2_SOL,R_CO2_EN_SER,1,resistor,100R 1%,CRCW0402100RFKED,Resistor_SMD:R_0402_1005Metric,POPULATE,Serie D7->EN.
CO2_SOL,R_CO2_EN_PD,1,resistor,100k 1%,CRCW0402100KFKED,Resistor_SMD:R_0402_1005Metric,POPULATE,Fail-safe válvula cerrada en arranque.
